slug,hookText,hookHighlight,imagePath
ai-critical-thinking,"One-third of students are hooked.","The research is nuanced.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-critical-thinking.png"
ai-detection-arms-race-over,"94% of AI work goes undetected.","The tools catch the innocent.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-detection-arms-race-over.png"
ai-for-difficult-conversations,"The conversation sat on my calendar for 3 days.","AI didn't make it easy. Just easier.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-for-difficult-conversations.png"
ai-policy-framework,"60% of schools have no AI rules.","Students made their own.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-policy-framework.png"
ai-proof-assignments,"69% of students used ChatGPT.","Banning it made it worse.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-proof-assignments.png"
ai-report-comments-teachers,"Weekends lost to report cards.","20 minutes. Done.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-report-comments-teachers.png"
ai-strategy-leadership,"60% of principals already use AI.","IT can't answer the hard questions.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-strategy-leadership.png"
ai-student-data-privacy,"82% of schools got hacked.","Your AI tools helped.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-student-data-privacy.png"
ai-tutoring-research,"AI tutoring doubled learning.","Regular ChatGPT made it worse.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ai-tutoring-research.png"
automated-research-pipeline,"47 tabs open. None of them read.","Now I scan one page.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/automated-research-pipeline.png"
board-report-template,"Board meetings used to terrify me.","One page fixed it.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/board-report-template.png"
claude-parent-emails,"23 tabs. Cold coffee. 9pm.","15 minutes. All done.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/claude-parent-emails.png"
claude-projects-leadership-workspace,"Every day, I hired a stranger.","Then I gave it a job description.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/claude-projects-leadership-workspace.png"
deepfake-crisis-schools,"440,000 reports in 6 months.","The victims are students.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/deepfake-crisis-schools.png"
elevenlabs-voice-cloning-guide,"The default voices sound like a GPS.","$22 fixed that.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/elevenlabs-voice-cloning-guide.png"
fewer-decisions-not-discipline,"200 decisions before 10am.","No wonder you're fried.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/fewer-decisions-not-discipline.png"
five-systems-every-new-head-needs,"I focused on relationships.","By month three, I was drowning.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/five-systems-every-new-head-needs.png"
gamma-presentations-from-notes,"40 minutes. Messy notes. No designer.","60 seconds later: a deck.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/gamma-presentations-from-notes.png"
heygen-ai-avatar-video-guide,"39 videos. No camera crew.","An avatar did the talking.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/heygen-ai-avatar-video-guide.png"
how-i-built-an-ib-world-school-from-scratch,"No staff. No curriculum. No systems.","Two years to IB authorization.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/how-i-built-an-ib-world-school-from-scratch.png"
inbox-fifteen,"Inbox zero lasted 12 seconds.","Inbox fifteen actually works.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/inbox-fifteen.png"
meeting-audit,"27 recurring meetings.","I killed most of them.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/meeting-audit.png"
no-admin-inbox-zero,"3 hours a day on email.","Not anymore.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/no-admin-inbox-zero.png"
notebooklm-board-report,"47 documents. 3 spreadsheets. Friday deadline.","NotebookLM ate them all.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/notebooklm-board-report.png"
notebooklm-master-any-document,"200 pages. Zero hallucinations.","Every answer has a citation.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/notebooklm-master-any-document.png"
notion-cathedral-kitchen,"Beautiful Notion setup. Lasted 3 weeks.","The ugly one stuck.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/notion-cathedral-kitchen.png"
parent-ai-communication,"83% of parents heard nothing from the school.","Their kids already use AI daily.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/parent-ai-communication.png"
parent-communication-system,"Parent complaints consumed hours.","They dropped 70%.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/parent-communication-system.png"
running-school-vs-run-by-school,"You became a leader to shape education.","Now you answer email until 10pm.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/running-school-vs-run-by-school.png"
school-leaders-guide-ai-2026,"92% of students use AI.","Most schools still have no plan.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/school-leaders-guide-ai-2026.png"
stop-scheduling-meetings,"A meeting to plan the meeting.","That's expensive email.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/stop-scheduling-meetings.png"
stopped-apologizing-response-time,"Half my emails started with 'sorry.'","I was undermining myself.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/stopped-apologizing-response-time.png"
teacher-ai-training-gap,"68% of teachers. Zero AI training.","92% of students use it daily.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/teacher-ai-training-gap.png"
template-library-school-leaders,"47 minutes for one email.","Now it takes one click.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/template-library-school-leaders.png"
ten-hours-back,"10 hours of free time appeared.","I felt guilty.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/ten-hours-back.png"
three-folder-google-drive,"Folders named 'Old_Archive_FINAL_v2.'","Three folders fixed everything.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/three-folder-google-drive.png"
trained-50-teachers-on-ai,"I announced AI training. They rolled their eyes.","Six months later, 80% use it daily.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/trained-50-teachers-on-ai.png"
tuesday-afternoon,"2:47pm. To-do list: empty.","I felt like I was getting away with something.","https://raw.githubusercontent.com/adifferentvista/kaiak-video/main/public/blog/images/tuesday-afternoon.png"
